# Registre officiel des communes suisses — asset généré, ne pas éditer à la main.
# Régénérer : python3 tools/data/build_commune_registry.py --date 13-08-2026
# Source : OFS, https://www.agvchapp.bfs.admin.ch/api/communes/snapshot
# Instantané : 13-08-2026
# Communes : 2110
# Le numéro OFS est l'identité engagée ; il change lors d'un transfert de canton.
# Format : numéro OFS|nom officiel|canton|valide depuis|alias de recherche
#
6253|Crans-Montana|VS|01.01.2017|
5714|Crassier|VD|01.09.2006|
2257|Cressier (FR)|FR|12.09.1848|
6452|Cressier (NE)|NE|01.01.2018|
5583|Crissier|VD|01.09.2006|
5910|Cronay|VD|01.09.2006|
5752|Croy|VD|01.09.2006|
691|Crémines|BE|01.01.2010|
2130|Crésuz|FR|12.09.1848|
5479|Cuarnens|VD|01.09.2006|
5911|Cuarny|VD|01.09.2006|
5456|Cudrefin|VD|01.09.2006|
5138|Cugnasco-Gerra|TI|18.10.2020|
2011|Cugy (FR)|FR|01.01.2005|
5516|Cugy (VD)|VD|01.09.2006|
5180|Cureglia|TI|12.09.1848|
5669|Curtilles|VD|01.09.2006|
6610|Céligny|GE|12.09.1848|
25|Dachsen|ZH|12.09.1848|
1125|Dagmersellen|LU|01.01.2013|
5480|Daillens|VD|01.09.2006|
1503|Dallenwil|NW|01.01.1850|
5071|Dalpe|TI|12.09.1848|
6811|Damphreux-Lugnez|JU|01.01.2023|
6620|Dardagny|GE|12.09.1848|
3851|Davos|GR|01.01.2017|
3401|Degersheim|SG|01.01.2003|
535|Deisswil bei Münchenbuchsee|BE|01.01.2010|
2516|Deitingen|SO|01.01.1991|
2051|Delley-Portalban|FR|01.01.2005|
6711|Delémont|JU|01.01.1979|Delsberg
5631|Denens|VD|01.09.2006|
5632|Denges|VD|01.09.2006|
4004|Densbüren|AG|12.09.1848|
2517|Derendingen|SO|01.01.1991|
6712|Develier|JU|01.01.1979|
2884|Diegten|BL|01.01.1994|
86|Dielsdorf|ZH|12.09.1848|
762|Diemtigen|BE|01.01.2010|
2845|Diepflingen|BL|01.01.1994|
3234|Diepoldsau|SG|01.01.2003|
1053|Dierikon|LU|01.01.2013|
385|Diessbach bei Büren|BE|01.01.2010|
4545|Diessenhofen|TG|01.01.2011|
243|Dietikon|ZH|01.01.1990|
54|Dietlikon|ZH|12.09.1848|
4231|Dietwil|AG|12.09.1848|
216|Dinhard|ZH|12.09.1848|
4194|Dintikon|AG|12.09.1848|
3982|Disentis/Mustér|GR|01.01.2017|Disentis,Mustér
2784|Dittingen|BL|01.01.1994|
5481|Dizy|VD|01.09.2006|
3722|Domat/Ems|GR|01.01.2017|Domat,Ems
3673|Domleschg|GR|01.01.2017|
5671|Dompierre (VD)|VD|01.09.2006|
5913|Donneloye|VD|01.01.2012|
1001|Doppleschwand|LU|01.01.2013|
26|Dorf|ZH|12.09.1848|
2473|Dornach|SO|12.09.1848|
6212|Dorénaz|VS|12.09.1848|
4065|Dottikon|AG|12.09.1848|
386|Dotzigen|BE|01.01.2010|
4406|Dozwil|TG|01.01.2011|
2535|Drei Höfe|SO|01.01.2013|
2785|Duggingen|BL|01.01.1994|
5715|Duillier|VD|01.09.2006|
2573|Dulliken|SO|12.09.1848|
5855|Dully|VD|01.09.2006|
214|Dägerlen|ZH|12.09.1848|
84|Dällikon|ZH|12.09.1848|
2572|Däniken|SO|12.09.1848|
85|Dänikon|ZH|12.09.1848|
575|Därligen|BE|01.01.2010|
761|Därstetten|BE|01.01.2010|
215|Dättlikon|ZH|12.09.1848|
5912|Démoret|VD|01.09.2006|
2915|Dörflingen|SH|12.09.1848|
4304|Döttingen|AG|12.09.1848|
191|Dübendorf|ZH|12.09.1848|
2293|Düdingen|FR|01.01.1922|
113|Dürnten|ZH|12.09.1848|
952|Dürrenroth|BE|01.01.2010|
4134|Dürrenäsch|AG|12.09.1848|
1054|Ebikon|LU|01.01.2013|
3352|Ebnat-Kappel|SG|01.01.2003|
5518|Echallens|VD|01.09.2006|
5633|Echandens|VD|01.09.2006|
2131|Echarlens|FR|12.09.1848|
5634|Echichens|VD|01.07.2011|
5482|Eclépens|VD|01.09.2006|
5635|Ecublens (VD)|VD|01.09.2006|
6713|Ederswiler|JU|01.01.1979|
2401|Egerkingen|SO|01.01.1991|
192|Egg|ZH|12.09.1848|
4066|Eggenwil|AG|12.09.1848|
6004|Eggerberg|VS|12.09.1848|
3212|Eggersriet|SG|01.01.2003|
901|Eggiwil|BE|01.01.2010|
55|Eglisau|ZH|12.09.1848|
4195|Egliswil|AG|12.09.1848|
4411|Egnach|TG|01.01.2011|
1127|Egolzwil|LU|01.01.2013|
4049|Ehrendingen|AG|01.01.2006|
1084|Eich|LU|01.01.2013|
3252|Eichberg|SG|01.01.2003|
4161|Eiken|AG|12.09.1848|
1301|Einsiedeln|SZ|12.09.1848|
6194|Eischoll|VS|12.09.1848|
6282|Eisten|VS|12.09.1848|
294|Elgg|ZH|01.01.2018|
218|Ellikon an der Thur|ZH|12.09.1848|
219|Elsau|ZH|01.01.1922|
6283|Embd|VS|12.09.1848|
56|Embrach|ZH|01.01.1931|
1024|Emmen|LU|01.01.2013|
1504|Emmetten|NW|01.01.1850|
4305|Endingen|AG|01.01.2014|
1402|Engelberg|OW|12.09.1848|
4026|Ennetbaden|AG|12.09.1848|
1505|Ennetbürgen|NW|01.01.1850|
1506|Ennetmoos|NW|01.01.1850|
1002|Entlebuch|LU|01.01.2013|
5584|Epalinges|VD|01.09.2006|
5914|Ependes (VD)|VD|01.09.2006|
2574|Eppenberg-Wöschnau|SO|12.09.1848|
735|Epsach|BE|01.01.2010|
2885|Eptingen|BL|01.01.1994|
6104|Ergisch|VS|12.09.1848|
953|Eriswil|BE|01.01.2010|
924|Eriz|BE|01.01.2010|
492|Erlach|BE|01.01.2010|
4476|Erlen|TG|01.01.2011|
151|Erlenbach (ZH)|ZH|12.09.1848|
763|Erlenbach im Simmental|BE|01.01.2010|
4005|Erlinsbach (AG)|AG|01.01.2006|
2503|Erlinsbach (SO)|SO|01.01.2006|
4646|Ermatingen|TG|01.01.2011|
1025|Ermensee|LU|01.01.2013|
6056|Ernen|VS|01.10.2004|
2615|Erschwil|SO|12.09.1848|
405|Ersigen|BE|01.01.2016|
1206|Erstfeld|UR|12.09.1848|
1026|Eschenbach (LU)|LU|01.01.2013|
3342|Eschenbach (SG)|SG|01.01.2013|
4806|Eschenz|TG|01.01.2011|
692|Eschert|BE|01.01.2010|
4724|Eschlikon|TG|01.01.2011|
1010|Escholzmatt-Marbach|LU|01.01.2013|
5856|Essertines-sur-Rolle|VD|01.09.2006|
5520|Essertines-sur-Yverdon|VD|01.09.2006|
2054|Estavayer|FR|01.01.2017|
5521|Etagnières|VD|01.09.2006|
5636|Etoy|VD|01.09.2006|
2768|Ettingen|BL|01.01.1994|
1128|Ettiswil|LU|01.01.2013|
2518|Etziken|SO|01.01.1991|
372|Evilard|BE|01.01.2010|
6213|Evionnaz|VS|12.09.1848|
6083|Evolène|VS|12.09.1848|
5716|Eysins|VD|01.09.2006|
925|Fahrni|BE|01.01.2010|
4196|Fahrwangen|AG|12.09.1848|
6789|Fahy|JU|01.01.1979|
5072|Faido|TI|10.04.2016|
3572|Falera|GR|01.01.2017|
5458|Faoug|VD|01.09.2006|
975|Farnern|BE|01.01.2010|
172|Fehraltorf|ZH|12.09.1848|
2616|Fehren|SO|12.09.1848|
4561|Felben-Wellhausen|TG|01.01.2011|
2544|Feldbrunnen-St. Niklaus|SO|12.09.1848|
3731|Felsberg|GR|01.01.2017|
6195|Ferden|VS|12.09.1848|
662|Ferenbalm|BE|01.01.2010|
2194|Ferpicloz|FR|12.09.1848|
3713|Ferrera|GR|01.01.2017|
5483|Ferreyres|VD|01.09.2006|
27|Feuerthalen|ZH|12.09.1848|
1321|Feusisberg|SZ|12.09.1848|
5522|Fey|VD|01.09.2006|
3861|Fideris|GR|01.01.2017|
6057|Fiesch|VS|12.09.1848|
6058|Fieschertal|VS|12.09.1848|
5556|Fiez|VD|01.09.2006|
6214|Finhaut|VS|12.09.1848|
493|Finsterhennen|BE|01.01.2010|
1129|Fischbach|LU|01.01.2013|
4067|Fischbach-Göslikon|AG|12.09.1848|
